"","Date","Inflation","Change"
"1",1903,0.010869561,-0.001794872
"2",1907,0.010752684,-0.000513084
"3",1909,0.01063832,0
"4",1910,0.010526312,0
"5",1912,0.031249989,0
"6",1915,0.220668811,-0.004078546
"7",1916,0.222222229,0.000920281
"8",1917,0.121212113,-0.001448109
"9",1918,0.189189193,0.268818194
"10",1919,0.022739622,0.063824383
"11",1920,0.177763556,-0.161959821
"12",1924,0.016964512,-0.028993123
"13",1934,0.00692584,-0.002210108
"14",1935,0.027531828,0.004430006
"15",1936,0.027903621,-0.01381947
"16",1937,0.053194936,0.065146089
"17",1939,0.122744893,-0.034148546
"18",1940,0.12628439,0.029625038
"19",1941,0.020922009,0
"20",1944,0.016527454,0.026315789
"21",1945,0.007637697,0.026840416
"22",1947,0.037000902,-0.022969855
"23",1948,0.049180325,0.388244103
"24",1949,0.034926465,-0.006424087
"25",1950,0.03197159,0.00089781
"26",1951,0.120481929,-0.042207883
"27",1952,0.063460061,-0.083010266
"28",1953,0.010526312,0.001868449
"29",1954,0.039772723,-0.008850676
"30",1955,0.058287804,0.007494578
"31",1956,0.030440462,-0.007027318
"32",1957,0.046421664,0.002574197
"33",1958,0.018484283,0.000922106
"34",1960,0.018148823,-0.028883085
"35",1961,0.043672012,-0.00223857
"36",1962,0.026494359,-0.000832428
"37",1963,0.018572822,0.005324045
"38",1964,0.047984642,-0.000236774
"39",1965,0.044871801,0.001649918
"40",1966,0.036809812,0.162536845
"41",1967,0.02451395,0.236554693
"42",1968,0.059405938,-0.190956041
"43",1969,0.046728974,0.064404207
"44",1970,0.078869046,0.092002394
"45",1971,0.090344828,0.618925742
"46",1972,0.076533841,0.775416572
"47",1973,0.105757931,0.68700799
"48",1974,0.192340248,-0.104261152
"49",1975,0.25,0.144688625
"50",1976,0.151351351,0.094463148
"51",1977,0.122065728,0.284036887
"52",1978,0.083682008,1.180538102
"53",1979,0.171814672,0.02449573
"54",1980,0.151565074,-0.160606579
"55",1981,0.120171674,0.333719581
"56",1982,0.053639847,-0.04607776
"57",1983,0.053333333,0.000649153
"58",1984,0.046029919,-0.139650335
"59",1985,0.056105611,0.193114415
"60",1986,0.0375,-0.05627407
"61",1987,0.037148594,-0.120353339
"62",1988,0.067763795,0.103492448
"63",1989,0.077062557,-0.184619302
"64",1990,0.093434343,-0.071383244
"65",1991,0.044649731,0.158373331
"66",1992,0.025792189,0.203883026
"67",1993,0.019396552,-0.078793644
"68",1994,0.028893587,-0.049340086
"69",1995,0.032191781,-0.136420095
"70",1996,0.02455209,-0.183801721
"71",1997,0.03626943,-0.006930175
"72",1998,0.0275,0.020665132
"73",1999,0.017639903,0.023757627
"74",2000,0.029288703,0.053364872
"75",2001,0.006968641,0.122834176
"76",2002,0.029411765,0.079797721
"77",2003,0.028011204,-0.017271636
"78",2004,0.034877384,0.315886155
"79",2005,0.022116904,0.080984208
"80",2006,0.044307058,0.292357478
"81",2007,0.040453873,0.430254905
"82",2008,0.009483167,0.129649442
"83",2009,0.023954908,0.341216224
"84",2010,0.047706422,0.233002872
"85",2011,0.048161121,-1
