Date,Ticker,Open,High,Low,Close,Change
12/31/1257,CMSIGBW,23.243,23.243,23.243,23.243,
12/31/1258,CMSIGBW,23.243,23.243,23.243,23.243,0
12/31/1259,CMSIGBW,23.243,23.243,23.243,23.243,0
12/31/1260,CMSIGBW,23.243,23.243,23.243,23.243,0
12/31/1261,CMSIGBW,23.243,23.243,23.243,23.243,0
12/31/1262,CMSIGBW,23.243,23.243,23.243,23.243,0.004474465
12/31/1263,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1264,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1265,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1266,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1267,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1268,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1269,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1270,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1271,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1272,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1273,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1274,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1275,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1276,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1277,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1278,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1279,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1280,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1281,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1282,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1283,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1284,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1285,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1286,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1287,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1288,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1289,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1290,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1291,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1292,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1293,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1294,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1295,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1296,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1297,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1298,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1299,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1300,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1301,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1302,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1303,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1304,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1305,CMSIGBW,23.347,23.347,23.347,23.347,0
12/31/1306,CMSIGBW,23.347,23.347,23.347,23.347,0
